2026-03-26 16:02:21 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 16:02:21 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 16:02:41 INFO  BaseTestPortal - Clicking verify button
2026-03-26 16:04:05 INFO  BaseTestPortal - successfully login
2026-03-26 16:04:05 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 16:04:05 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 16:04:25 INFO  BaseTestPortal - Clicking verify button
2026-03-26 16:05:52 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 16:05:52 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 16:16:02 INFO  BaseTestPortal - successfully login
2026-03-26 16:16:02 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 16:16:02 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 16:16:21 INFO  BaseTestPortal - Clicking verify button
2026-03-26 16:17:41 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 16:17:41 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 16:40:56 INFO  BaseTestPortal - successfully login
2026-03-26 16:40:56 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 16:40:56 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 16:41:15 INFO  BaseTestPortal - Clicking verify button
2026-03-26 16:42:49 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 16:42:49 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 17:34:12 INFO  BaseTestPortal - successfully login
2026-03-26 17:34:12 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 17:34:12 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 17:34:30 INFO  BaseTestPortal - Clicking verify button
2026-03-26 17:36:02 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 17:36:02 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 18:02:15 INFO  BaseTestPortal - successfully login
2026-03-26 18:02:15 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 18:02:15 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 18:02:34 INFO  BaseTestPortal - Clicking verify button
2026-03-26 18:03:00 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 18:03:00 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 18:17:07 INFO  BaseTestPortal - successfully login
2026-03-26 18:17:07 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 18:17:07 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 18:17:27 INFO  BaseTestPortal - Clicking verify button
2026-03-26 18:17:53 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 18:17:53 INFO  BaseTestPortal - successfully otp verified 
